ad,click,organic_click_3p,organic_click_1p,time_elapsed,n_direct_answer,n_featured_snippet,n_knowledge_panel_rhs,n_people_also_ask,n_top_stories,n_twitter_cards,n_videos,n_images,n_scholarly_articles,n_local_results,n_map_results,n_recipes,n_products,Reference,News and Media,Business,Shopping,Information Technology,Education,Entertainment,Streaming Media and Download,Health and Wellness,Government and Legal Organizations,Social Networking,Restaurant and Dining,Finance and Banking,Sports,Games,Society and Lifestyles,Newsgroups and Message Boards,Arts and Culture,Travel,Real Estate,click_prev_1,organic_click_3p_prev_1,organic_click_1p_prev_1,log_time_elapsed_prev_1,log_time_prev_1,user_id
1,1,1,0,134.56,0,0,1,1,1,0,1,0,0,0,0,0,0,0.1807846658684759,0.0,0.0,0.4661932951975523,0.069348365926123,0.0,0.1858620460290007,0.0978116269788479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,2.750151377120845,9.858006230605442,609
1,1,0,0,17.069000000000006,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0543083977824925,0.0,0.0,0.0,0.0,0.0,0.2256347957018683,0.0,0.0,0.0,0.0179573608924781,0.0,0.0,0.0,0.0,0.0,0.0484309766614195,0.0,1,1,0,2.472581000097364,9.964350310701734,1513
1,0,0,0,59.807,0,0,1,1,0,0,1,0,0,0,0,0,0,0.037087349733894,0.0130199610455666,0.0,0.0,0.0,0.0,0.0,0.043960201967571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.8501509293696102,7.151775390523988,1237
1,1,1,0,19.964,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0740710111368397,0.0,0.0312107178299702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0228250082699304,0.0,1,1,0,3.001565228746435,4.006878536440825,612
1,1,0,0,15.267,0,0,1,1,0,1,0,1,0,0,0,0,0,0.1137740866684104,0.0460316941320078,0.0,0.0,0.1424764582788386,0.0,0.0,0.0,0.0,0.2328777574330805,0.0808102275699712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,3.94875986714412,8.410488439344006,1664
1,0,0,0,1.273,0,0,1,1,1,0,1,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.8029074568600323,0.0,0.0,0.0222000579131945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1.6511555057859688,6.167705152335934,1012
1,1,1,0,16.294,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0861928169983826,0.0,0.0,0.0,0.0867585757823216,0.0,0.0,0.4192432709397467,0.4078053362795489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,2.7839613085347485,11.248941676781874,493
1,0,0,0,17.311,1,0,0,1,0,0,0,0,0,0,0,0,0,0.3448460508701474,0.0,0.0,0.0,0.2930596459913727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,2.1320339917990068,8.521400528149154,1630
1,0,0,0,17.151,0,0,1,1,1,0,1,0,0,0,0,0,0,0.201806762986109,0.0,0.0,0.0,0.0,0.0392785323144509,0.2654827831575038,0.4934319215419362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.860161128375472,6.010730265588534,690
1,1,1,0,15.931,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0.4734547046045291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0112030913913929,0.0,0.0,0.0319119978223624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.213260086082565,11.054789756529246,486
1,0,0,0,7.725,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0229652968847075,0.3259518949143517,0.0314025472619153,0.0,0.0978854175911955,0.0,0.0,0.0,0.0116435164640098,0.0,0.0,0.0,0.1886371704979142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.6886370250820593,6.640271833839552,616
1,0,0,0,7.920000000000001,0,0,1,1,0,0,0,0,0,1,0,0,0,0.1306793739038352,0.0,0.129706476058109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0606770574803931,0.0,0.2953373705284754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.5495886507353687,8.7638870055267,616
1,1,1,0,12.577,1,0,1,1,1,0,0,0,0,0,0,0,0,0.0460734788306885,0.1893393550451319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.3499456643538834,12.082342797584625,718
1,1,1,0,10.026,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0.3494578643265425,0.2996165255770208,1.0336237816159685e-05,7.235366471311779e-05,0.0,0.0,5.684930798887827e-05,0.0,0.0,0.0,0.0,0.0001240348537939,6.718554580503794e-05,0.0003410958479331,0.0002532378264959,0.0,0.0,0.0,0.0,1,1,0,3.074451028265382,4.184170031492801,1114
1,0,0,0,2.3360000000000003,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0,0.1003855884920065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3201820773165694,0.0350675608489575,0.0,0.0,0.0,0.0,0.0,0,0,0,1.2223037610106595,4.421836116776396,616
1,1,0,1,43.74500000000001,0,0,1,1,0,0,1,0,0,0,0,0,0,0.0118674061886911,0.2284489825918324,0.0,0.0,0.0,0.0,0.0,0.0997676272537612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.613023801810401,7.96320672905415,1621
