featured_snippet,click,organic_click_3p,organic_click_1p,time_elapsed,n_direct_answer,n_knowledge_panel_rhs,n_people_also_ask,n_top_stories,n_twitter_cards,n_videos,n_images,n_ad,n_local_results,n_map_results,n_recipes,n_products,Reference,News and Media,Business,Shopping,Information Technology,Education,Entertainment,Streaming Media and Download,Health and Wellness,Government and Legal Organizations,Social Networking,Restaurant and Dining,Finance and Banking,Sports,Games,Society and Lifestyles,Newsgroups and Message Boards,Arts and Culture,Travel,Real Estate,click_prev_1,organic_click_3p_prev_1,organic_click_1p_prev_1,log_time_elapsed_prev_1,log_time_prev_1,user_id
1,0,0,0,11.125,0,0,1,1,0,0,0,0,0,0,0,0,0.3457945040390422,0.5825587361437589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0716467598171989,0.0,0.0,0.0,0.0,0,0,0,2.7243827623897703,9.463992643149345,1559
1,1,1,0,4.247,0,0,1,0,0,0,0,0,0,0,0,0,0.0571492688035307,0.0258069342110183,0.0181957586864641,0.1217102392439938,0.7767388512797502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003989477752426,0.0,1,1,0,-0.7194911558995473,4.625600067499599,608
1,1,1,0,38.733,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0256801518478543,0.0568685101790167,0.0,0.0,0.0833364348009477,0.0,0.0,0.6470529854727258,0.0776049226493977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,2.1857141412626304,4.387909297832037,634
1,1,1,0,17.329,0,0,1,0,0,0,0,0,0,0,0,0,0.0749646477961795,0.1606667785154472,0.0172087337919131,0.0001677731706732,0.208002780241114,0.0,0.5389892864846727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,2.4657238303712266,11.715422953556574,608
1,1,1,0,2.6990000000000003,0,0,1,1,0,1,0,0,0,0,0,0,0.6423970084530058,0.1622662853910692,0.0,0.0,0.0398956729409545,0.0,0.0,0.0445401124972503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,2.2421979429789505,5.707771175867106,1501
1,0,0,0,24.192,0,0,0,0,0,1,0,0,0,0,0,0,0.3200088339222615,0.0690757508833922,0.0,0.0,0.0,0.0,0.3995859098939928,0.1800739840989399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.6731636033146455,12.10760162603118,1716
1,1,1,0,35.172000000000004,0,0,1,0,0,0,0,0,0,0,0,0,0.1064889121818598,0.0,0.0,0.0,0.606629761865767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.907020809563144,6.170520360495438,609
1,1,1,0,9.547,0,0,0,0,0,0,0,0,0,0,0,0,0.3863129416961131,0.4326303003533569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0330112632508833,0.0,0.0,0.0,0.0,0.0,0.0506183745583038,0.0974271201413427,0.0,0.0,0,0,0,4.613068908781447,5.702795320913565,613
1,1,1,0,20.326,0,0,1,0,0,0,0,0,0,0,0,0,0.4677192177929182,0.2924104949392381,0.0,0.0,0.0,0.0370860493301451,0.0,0.0,0.0,0.0271217530872284,0.0,0.0,0.0600609256772249,0.0,0.0,0.0,0.0,0.1156015591732451,0.0,0.0,1,1,0,2.6396285949835505,4.072286393102885,613
1,1,1,0,9.264,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0.5962905151042145,0.0562299146083921,0.0712514920576622,0.0,0.0,0.0,0.0,0.0,0.276228078229731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1.8280913984754448,5.203446090411404,1253
1,0,0,0,2.095,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0.0,0.08351403583478,0.0,0.8501948966556391,0.0271217530872284,0.0,0.0391693144223525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,3.680242260718273,7.657645203670012,613
1,1,1,0,9.415,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0415866880670836,0.5417340888990797,0.0,0.3294965442693832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0271217530872284,0.0600609256772249,0.0,1,1,0,2.379638722436337,5.338239756545455,613
1,0,0,0,26.283,0,1,1,1,0,0,0,0,0,0,0,0,0.4103343089671866,0.3075901843824483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2383140059032023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,4.999837203996743,9.413511883244682,1237
