local_results,click,organic_click_3p,organic_click_1p,time_elapsed,n_direct_answer,n_knowledge_panel_rhs,n_people_also_ask,n_top_stories,n_twitter_cards,n_videos,n_images,n_ad,n_map_results,n_recipes,n_products,Reference,News and Media,Business,Shopping,Information Technology,Education,Entertainment,Streaming Media and Download,Health and Wellness,Government and Legal Organizations,Social Networking,Restaurant and Dining,Finance and Banking,Sports,Games,Society and Lifestyles,Newsgroups and Message Boards,Arts and Culture,Travel,Real Estate,click_prev_1,organic_click_3p_prev_1,organic_click_1p_prev_1,log_time_elapsed_prev_1,log_time_prev_1,user_id
1,1,0,1,7.2890000000000015,0,0,0,0,0,0,0,0,0,0,0,0.0914375490966221,0.0,0.0556716417910447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1702985074626865,0.5439748625294579,0.0,0.0,0.0,0.0,0.0,0.0,0.1386174391201886,0.0,0,0,0,5.703782474656201,11.009651455852458,1325
1,1,1,0,9.445,0,0,0,0,0,0,0,0,0,0,0,0.4615868028279655,0.0,0.1942890809112333,0.0,0.046967792615868,0.0,0.0,0.0,0.0,0.0,0.0325216025137469,0.2201649646504319,0.0,0.0,0.0,0.0,0.0,0.0,0.0444697564807541,0.0,0,0,0,1.818563671980106,9.776735357707675,1418
1,1,0,1,5.832999999999999,0,0,1,0,0,0,0,0,0,0,0,0.0951547612734438,0.0,0.8278564399898652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0769887987366907,0.0,0,0,0,2.880826345052633,7.964245770418995,616
1,0,0,0,7.907000000000001,0,0,1,0,0,0,0,0,0,0,0,0.0997825508121061,0.0,0.7683167657761607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0116435164640098,0.0,0.0,0.0,0.0,0.0,0.0,0.1202571669477234,0.0,0,0,0,2.45676434384172,7.327326427444484,616
1,0,0,0,2.7750000000000004,0,0,1,0,0,1,0,0,0,0,0,0.3488701031381743,0.0227850609252715,0.1795011502603221,0.0,0.0,0.0,0.0115521359618707,0.0349370934187497,0.0,0.0,0.0,0.4023544562956115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.043099578737851,11.128432006467673,1143
1,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0.0444697564807541,0.0,0.0498664571877454,0.0,0.0,0.0,0.09827965435978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2053809897879026,0.0,0.0,0.3356952081696779,0.0,0,0,0,1.3989637642205537,5.174866423609304,616
1,0,0,0,300.0,0,0,0,0,0,0,0,0,0,0,0,0.0382543452445211,0.0,0.5710029148224118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0952499190327108,0.2632192594191945,0.0,0.0,0.0,0.0,0.0,0.0,0.0322735614811616,0.0,0,0,0,3.646467654856898,6.195637285072847,616
1,1,0,1,20.304,0,0,0,0,0,0,0,0,0,0,0,0.2562058130400629,0.0,0.0943362136684995,0.0,0.1386174391201885,0.0,0.0,0.0,0.0,0.0,0.0,0.4783189316575019,0.0,0.0,0.0,0.0,0.0,0.0,0.0325216025137469,0.0,0,0,0,1.5547705110917922,7.673194283496606,616
1,1,1,0,5.5790000000000015,0,1,1,0,0,0,0,0,0,0,0,0.3940568672639305,0.0,0.0,0.0,0.0,0.1081637948138764,0.4977793379221931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,2.6116861328191265,8.359961904721791,289
1,1,1,0,9.184,0,1,0,0,0,1,0,0,0,0,0,0.1884513347262761,0.0,0.0,0.0,0.0,0.401965006300142,0.0487423640684562,0.0376785704791829,0.3231627244259427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1.664872619322201,4.554087395758775,624
1,1,1,0,12.589,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0523113381262709,0.4035354586649161,0.0,0.0338814788721117,0.0319119978223624,0.0,0.0,0.0,0.0667755485458398,0.0,0.0,0.0,0.0,0.0,0.0,0.0489327974636926,0.0,0.0,1,1,0,3.792991690995888,5.0935538625152565,632
1,1,1,0,20.328000000000007,0,0,0,0,0,0,0,0,0,0,0,0.0003035305788549,0.0,0.0554350481577173,0.0,0.0,0.0473581734862337,0.0001702732515528,0.0,0.8595837929477267,0.0,0.0004293847213069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1.7220520568032347,10.529759884870575,643
1,0,0,0,300.0,0,0,1,1,0,0,0,0,0,0,0,0.0,0.1222658063474334,0.0,0.0,0.0,0.0,0.0,0.0,0.7898228451088969,0.0,0.0879113485436696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,5.641892886440352,10.75793643332079,1144
1,0,0,0,15.250000000000002,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0353554765804708,0.054212913411901,0.0,0.0,0.0,0.0,0.0,0.6901975625476758,0.0,0.178326661187031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.4706355095536416,8.390847349349276,1023
1,0,0,0,43.627,0,0,0,0,0,0,0,0,0,0,0,0.1875472309187088,0.0,0.0223469718233833,0.0,0.0,0.0,0.0,0.0,0.6489798121558892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,2.889982793370382,7.421391748616929,382
1,1,1,0,6.5840000000000005,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0319940648691256,0.2673281864620281,0.3884187667601761,0.0,0.0,0.0547685839921483,0.0,0.0899543273131941,0.1675360706033277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,2.154780898225652,5.437165848366845,418
1,0,0,0,300.0,0,0,0,0,0,0,1,0,0,0,0,0.0005793982535279,0.0001241567686131,0.0021830898481148,0.0,0.0002121011463807,0.0001034639738443,0.0,3.621239084550764e-05,0.9966839796382904,0.0,7.759798038323065e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,5.703782474656201,10.939409176172925,663
1,1,1,0,40.282,0,0,0,0,0,0,0,0,0,0,0,0.2562058130400629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0556716417910447,0.0444697564807541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0059820716775474,11.357636676075806,676
1,1,1,0,62.109,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.069274290305892,0.0,0.0,0.0,0.0,0.0,0.0,0.930725709694108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,2.3726707005607337,9.596218433548966,679
1,1,1,0,16.945,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1701012944160935,0.0,0.0,0.0,0.0,0.0,0.0,0.7945432290034358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,3.328232345851373,4.888693623291013,679
1,1,1,0,27.889000000000006,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.069274290305892,0.0,0.0,0.0,0.0,0.0,0.0,0.930725709694108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,4.128890905974684,4.277568489535066,679
1,1,1,0,19.806,0,0,0,0,0,0,0,0,0,0,0,0.0322735614811616,0.0,0.8507071143258125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.117019324193026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,3.078647773881299,5.112192586661047,680
1,1,1,0,21.729000000000006,0,0,0,0,0,0,0,0,0,0,0,0.0322735614811616,0.0,0.8507071143258125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.117019324193026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.9884253296333544,4.485913565138154,680
1,1,0,1,29.925,0,0,0,0,0,0,0,0,0,0,0,0.3218695993715633,0.0556716417910447,0.0,0.0,0.0,0.0,0.0,0.0,0.575490966221524,0.0,0.046967792615868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,2.608892629568992,12.232132269675809,1479
1,1,1,0,3.642,0,0,1,0,0,0,0,0,0,0,0,0.1416274621310034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8197345292870806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1.691754954923314,4.316327440215559,15
1,1,1,0,4.421,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0498664571877454,0.0720188531029065,0.0,0.0,0.0,0.0,0.046967792615868,0.0,0.0,0.0556716417910447,0.0,0.0,0.0,0.2368970934799686,0.0,0.0,0.0,0.0,1,1,0,1.6058314168399888,2.634116572724088,701
1,0,0,0,11.037,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0498664571877454,0.0720188531029065,0.0,0.0,0.0,0.0,0.046967792615868,0.0,0.0,0.0556716417910447,0.0,0.0,0.0,0.2368970934799686,0.0,0.0,0.0,0.0,1,1,0,1.4863659148441062,3.716835030127268,701
1,1,0,1,6.638999999999999,0,0,0,0,0,0,0,0,0,0,0,0.1148851590106006,0.0,0.0,0.8109375000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0391287544169611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.1955667835439752,5.097461098312768,705
1,1,0,1,20.945,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0494872071683039,0.6872935334125014,0.0,0.0,0.0,0.0,0.0,0.0,0.0305570549498002,0.2326622044693942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.341295781833431,9.35335657870192,1130
1,1,0,1,20.637,0,1,1,0,0,1,0,0,0,1,0,0.6336017730185204,0.0,0.0230294917932062,0.0,0.0,0.0,0.0,0.1005880804002457,0.0,0.0,0.0,0.0621105064513297,0.0,0.0,0.0,0.0,0.0,0.0,0.1806701483366977,0.0,0,0,0,3.124213435202531,4.689097645923377,1379
1,0,0,0,2.249,0,0,1,1,0,0,0,0,0,0,0,0.1134404350928622,0.0134937931123153,0.0,0.0384370600374148,0.0,0.0,0.0,0.0,0.4447808785430047,0.0408092418661163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.858369503415483,8.529928353895066,63
1,0,0,0,2.515,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.1009219436310395,0.0,0.0,0.0,0.0,0.0,0.7017466599560763,0.0483105325768666,0.0,0.0,0.0560544015373352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.061095099359811,6.9056420476809,709
1,1,0,1,69.83500000000001,1,0,0,0,0,0,0,1,0,0,0,0.0,0.3052316104947684,0.0148851148851148,0.0,0.0,0.0,0.0,0.0,0.0444134812555863,0.1714864083285136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,2.638056829281675,8.548610072185465,712
1,1,0,1,15.991,0,0,1,0,0,0,0,0,0,0,0,0.0123679388143512,0.0,0.0333563133054038,0.8924772999122049,0.0,0.0,0.0,0.0,0.0,0.0,0.06179844796804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,2.036403551988267,4.704535767885654,1144
1,1,0,1,8.026,0,0,0,0,0,0,0,0,0,0,0,0.1386174391201885,0.0,0.1164886095836606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046967792615868,0.6654045561665357,0.0,0.0,0.0,0.0,0.0,0.0,0.0325216025137469,0.0,0,0,0,2.5649493574615367,8.915393978115928,1578
1,1,1,0,22.829,0,0,0,0,0,0,0,0,0,0,0,0.0648224117456547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0223469718233833,0.0,0.912830616430962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,3.784916642310878,4.391097866361296,714
1,0,0,0,81.80900000000003,0,0,1,0,0,0,0,0,0,0,0,0.2277727693223265,0.0,0.0123679388143512,0.0,0.0,0.0,0.0,0.0,0.6912729136836897,0.0,0.0333563133054038,0.0,0.0,0.0,0.0,0.0,0.0352300648742288,0.0,0.0,0.0,0,0,0,2.9766004212379644,9.127643637152955,718
1,1,1,0,6.300000000000002,0,0,0,0,0,0,0,0,0,0,0,0.2333099427831156,0.0,0.3819982726978301,0.0,0.0494872071683039,0.3352045773507504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,2.553343811341229,6.4765630483626895,728
1,1,1,0,12.155,0,0,1,0,0,0,0,0,0,0,0,0.4254363115394632,0.0,0.0,0.0,0.5745636884605367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1.7425692250372835,5.62794120634041,372
1,0,0,0,18.86,0,0,0,0,0,0,0,0,0,0,0,0.1411259851020188,0.0223469718233833,0.4139425672028501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3055651516787218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.117019324193026,0,0,0,1.7155981082624912,8.365465473843733,728
1,1,1,0,38.798,0,0,0,0,0,0,0,0,0,0,0,0.4615868028279655,0.0,0.0498664571877454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046967792615868,0.0,0.0,0.0,0.0,0.0,0.0,0.441578947368421,1,1,0,2.9886573048820275,3.7086330606007727,730
1,0,0,0,21.983,0,0,0,0,0,0,0,0,0,0,0,0.0305570549498002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.937169383569038,0.0322735614811616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.470785631431833,5.355859595610387,731
