top_stories,click,organic_click_3p,organic_click_1p,time_elapsed,n_direct_answer,n_featured_snippet,n_knowledge_panel_rhs,n_people_also_ask,n_twitter_cards,n_videos,n_images,n_ad,n_local_results,n_recipes,n_products,Reference,News and Media,Business,Shopping,Information Technology,Education,Entertainment,Streaming Media and Download,Health and Wellness,Government and Legal Organizations,Social Networking,Restaurant and Dining,Finance and Banking,Sports,Games,Society and Lifestyles,Newsgroups and Message Boards,Arts and Culture,Travel,Real Estate,click_prev_1,organic_click_3p_prev_1,organic_click_1p_prev_1,log_time_elapsed_prev_1,log_time_prev_1,user_id
1,0,0,0,0.8809999999999999,0,0,1,0,0,0,0,0,0,0,0,0.1894672495756444,0.4473007712082263,0.0,0.0,0.0,0.0386804861941174,0.0,0.0,0.0826715569891768,0.0991818534103995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1.852384091044489,10.92356642453336,463
1,0,0,0,87.76700000000002,0,0,1,1,0,1,0,0,0,0,0,0.1576449098253105,0.4476575162726082,0.0,0.0,0.0266279039851809,0.0,0.0864120507345184,0.1134966168411845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4.042928453275607,11.196382975016164,1552
1,1,0,1,33.102000000000004,0,0,1,0,0,1,0,0,0,0,0,0.1426980826224354,0.5972852160529204,0.0,0.0500384785420725,0.0,0.0,0.0749867644731168,0.0963109721153374,0.0,0.0,0.0,0.0,0.0,0.0,0.0386804861941173,0.0,0.0,0.0,0.0,0.0,0,0,0,2.604244032376621,7.060380224039255,833
1,0,0,0,22.0,0,0,1,1,0,1,0,0,0,0,0,0.2998662172939875,0.0589673004193573,0.0455825979572409,0.0,0.0,0.0,0.4500308729321568,0.1455530113972574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,3.0443319433900533,10.677778011842104,1547
1,1,1,0,13.874,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0756357489768392,0.0530712189361443,0.0,0.0,0.0,0.0367469565670422,0.0,0.0567354948509108,0.0,0.0,0.0,0.0,0.0,0.0,0.7778105806690634,0.0,0.0,0.0,0.0,1,1,0,2.535124365948618,8.764356504617302,1655
1,1,1,0,34.793,0,0,0,1,0,1,0,0,0,0,0,0.0511375996340939,0.948862400365906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,2.241347783522856,5.416464780255119,613
1,1,1,0,17.347,0,0,0,0,0,0,0,0,0,0,0,0.0,0.9687444787985866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0312555212014134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.8259282917937639,11.418495591582488,613
1,0,0,0,5.8210000000000015,0,0,1,1,1,0,1,0,0,0,0,0.0798935742350647,0.512996937165486,0.0,0.0,0.0,0.0,0.0438511276799801,0.0,0.0,0.1091854097701327,0.2540729511493363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.537499099907171,7.163090280581806,616
1,0,0,0,8.874,0,0,0,0,0,1,0,0,0,0,0,0.0,0.9296157243816254,0.0,0.0,0.0703842756183745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.4167347003663951,8.734044347067393,616
1,0,0,0,7.741,0,0,1,1,1,1,0,0,0,0,0,0.1942991832483692,0.5773337718576989,0.0,0.0,0.0,0.0,0.034796908403223,0.0502548922874527,0.0,0.0,0.143315244203256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.2823823856765264,5.295809223786027,1181
