videos,click,organic_click_3p,organic_click_1p,time_elapsed,n_direct_answer,n_knowledge_panel_rhs,n_people_also_ask,n_top_stories,n_twitter_cards,n_images,n_ad,n_local_results,n_recipes,n_products,Reference,News and Media,Business,Shopping,Information Technology,Education,Entertainment,Streaming Media and Download,Health and Wellness,Government and Legal Organizations,Social Networking,Restaurant and Dining,Finance and Banking,Sports,Games,Society and Lifestyles,Newsgroups and Message Boards,Arts and Culture,Travel,Real Estate,click_prev_1,organic_click_3p_prev_1,organic_click_1p_prev_1,log_time_elapsed_prev_1,log_time_prev_1,user_id
1,0,0,0,8.505,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0524569152953562,0.0,0.0,0.0,0.2553898793857139,0.3316320692101709,0.0,0.0,0.2271645343647723,0.0,0.0,0.0323907719772045,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.1621361468755707,8.77113454408578,616
1,1,1,0,5.17,0,0,1,0,0,1,0,0,0,0,0.1760546782936601,0.0402612706642873,0.0381199286219319,0.0,0.0,0.0,0.0,0.390289889229319,0.0,0.0,0.0,0.0,0.307551934278307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.9825963741608503,3.4360817835156574,616
1,1,1,0,9.778,0,1,1,1,0,0,0,0,0,0,0.1134966168411845,0.1382528493143635,0.0,0.0,0.0455825979572409,0.0,0.116879775656693,0.5591602562453369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-0.6348782724359695,11.890538637244566,1251
1,0,0,0,0.439,0,0,0,0,0,0,0,0,0,0,0.0,0.3378809628975264,0.0,0.0,0.0,0.0,0.0,0.3200088339222616,0.0,0.0,0.0,0.0,0.342110203180212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.704728196668274,8.312925858021366,616
1,0,0,0,21.274,0,1,0,1,0,1,0,0,0,0,0.2281477357697618,0.4555095268503812,0.0,0.0,0.0,0.0,0.0,0.316342737379857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.9137627106867403,9.457270134979648,1674
1,1,1,0,7.577999999999999,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2491497349823322,0.653423144876325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0974271201413427,0.0,0.0,0.0,0,0,0,2.356599681300284,3.9542967456554754,1136
1,0,0,0,1.6820000000000002,0,0,0,0,1,0,0,0,0,0,0.0,0.8169059187279152,0.0,0.0,0.0,0.0,0.0350485865724381,0.0,0.0,0.0,0.0974271201413427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,2.075056943362012,7.842084730440379,176
1,0,0,0,4.115,0,1,0,0,0,1,0,0,0,0,0.0112030913913929,0.5335212079483772,0.0,0.1157083460095325,0.0,0.0,0.0,0.3093526331801516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,2.6071242825122494,5.772751790310161,552
1,0,0,0,46.389,0,0,1,1,0,1,0,0,0,0,0.0,0.0637564454944005,0.0,0.0,0.3197305953706017,0.0,0.0,0.32914612816028,0.0,0.18521568271131,0.0,0.0,0.0681973059537059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.276241117654444,4.644909995156951,1665
1,0,0,0,3.996,0,0,0,0,0,0,0,0,0,0,0.0690757508833922,0.3645373233215547,0.0312555212014134,0.0,0.0,0.0,0.0,0.0,0.0,0.1800739840989399,0.3200088339222615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1.935426819040468,4.05973586402552,616
1,1,1,0,3.851,0,1,1,1,1,0,0,0,0,0,0.0834026452696641,0.724627754130176,0.0,0.0,0.0,0.0498393593946213,0.0,0.0,0.0,0.0,0.1421302412055384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1.1052568313867783,5.617479937289486,1399
1,1,1,0,28.411,0,1,1,1,1,0,0,0,0,0,0.0847605577777285,0.7395195686283177,0.0,0.0,0.0,0.0312755519215045,0.0,0.0,0.0,0.0,0.1444443216724492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,2.823994510299681,10.03038391318842,1736
1,1,0,1,32.713,0,0,0,0,0,1,0,0,0,0,0.0803685454141223,0.0219069433170119,0.0001396005356524,5.687429230284016e-05,0.0,0.0002016452181646,0.0309137630616982,0.4683080932117952,0.0,0.0119177494325496,0.1559958430062717,0.0,7.755585314023658e-05,0.0001602820964897,0.0,0.0,0.0,0.0,0.0426402080565018,0.0149786204364841,1,0,1,2.31293138504819,6.785656569186276,1683
1,0,0,0,1.03,0,0,0,1,0,0,0,0,0,0,0.0,0.6799911660777385,0.0,0.0,0.0,0.0,0.0,0.3200088339222616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,2.1730457216390606,4.453276956202048,633
1,1,0,1,1.5850000000000002,0,0,0,1,0,0,0,0,0,0,0.0,0.6799911660777385,0.0,0.0,0.0,0.0,0.0,0.3200088339222616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.3860443298646814,6.880724209331071,829
1,0,0,0,4.5310000000000015,0,0,0,1,0,0,0,0,0,0,0.0,0.6449425795053003,0.0,0.0,0.0,0.0,0.0,0.3200088339222616,0.0,0.0,0.0,0.0,0.0,0.0350485865724381,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3.9317668074647423,10.056284301927374,1135
1,0,0,0,12.22,0,0,0,1,0,0,0,0,0,0,0.0,0.6799911660777385,0.0,0.0,0.0,0.0,0.0,0.3200088339222615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.687098914349278,6.607727983544308,633
